DigitalId,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2320609,A,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2320982,P,A,A,A,P,P,A,P,A,A,P,A,A,P,A,P,A,P,P,P,A,A,P,A,P,A,P,A,P,P,P
2320611,P,A,A,P,P,P,A,A,A,A,A,P,P,A,P,A,P,A,P,P,A,P,P,P,A,P,A,P,A,P,P
2320612,A,P,A,P,P,P,A,P,P,A,A,A,A,P,A,P,P,P,P,P,A,A,P,A,P,A,A,P,P,P,P
2320613,A,A,A,P,P,A,A,P,P,A,A,P,P,A,P,A,P,A,P,P,P,P,A,P,P,P,A,P,P,P,A
2320614,P,P,A,P,P,P,A,A,A,A,A,P,P,P,A,P,A,P,A,P,P,P,P,P,A,A,A,P,A,P,A
2320615,P,A,A,P,A,P,P,P,A,P,A,A,P,P,P,P,P,A,A,P,P,P,A,P,A,P,A,A,P,P,A
2320616,A,A,P,P,A,P,A,A,P,A,A,P,P,P,A,P,P,P,A,A,A,P,P,P,A,P,P,A,P,A,P
2320617,A,P,P,A,A,A,P,P,A,A,A,P,A,P,A,P,P,A,P,A,P,P,P,A,P,P,A,P,A,P,A
2320618,A,P,P,P,A,P,A,P,A,A,A,P,A,P,P,A,P,P,A,P,A,A,P,P,P,P,P,A,A,P,A
2310610,P,P,P,P,A,A,P,A,A,P,A,P,A,A,A,A,P,A,P,P,P,P,P,A,P,A,A,P,P,P,A
2310611,A,P,A,P,P,A,P,P,A,A,P,A,A,P,P,P,A,P,A,A,A,P,P,P,A,A,P,P,P,P,P
2310612,A,A,A,A,P,A,P,P,P,A,A,P,A,P,P,P,A,A,A,P,A,P,A,P,P,P,P,A,A,P,P
2310613,P,A,A,P,P,P,P,A,P,P,A,P,P,A,A,P,P,A,A,P,P,A,P,P,A,A,P,P,P,A,A
2310614,P,P,P,P,A,P,A,A,P,P,P,A,P,P,P,P,A,A,A,A,P,P,P,A,A,A,P,A,P,P,P
2310615,A,P,A,A,A,P,P,P,P,A,P,P,P,P,A,A,P,A,P,A,P,A,A,A,P,P,P,A,A,A,A
2310616,P,P,A,A,P,P,P,A,A,P,A,P,A,A,A,P,P,P,A,A,P,A,A,A,P,A,A,P,A,P,P
2310617,A,P,A,A,A,A,P,A,P,P,P,P,P,A,P,A,A,P,A,A,A,P,P,P,P,P,A,P,A,P,A
2310618,P,A,A,P,A,P,P,P,A,A,P,P,A,P,P,A,P,A,P,P,P,A,A,A,P,P,A,P,P,A,A
2310619,P,A,P,A,P,A,P,A,P,A,P,A,A,P,P,P,A,P,A,P,A,A,P,A,P,A,A,P,P,A,A
2310620,P,A,P,A,P,A,P,P,A,P,P,A,A,P,A,P,A,P,A,A,P,P,P,A,P,A,A,P,A,P,P
2310621,A,A,P,A,P,P,P,A,A,P,P,P,A,A,P,A,P,A,P,A,P,A,A,P,P,A,A,A,P,P,A
2310622,A,P,A,P,A,A,P,P,A,A,A,P,P,P,A,A,A,P,A,P,P,P,A,A,A,P,P,A,P,P,P
2310623,A,A,A,A,P,P,A,A,A,P,P,A,P,P,A,A,P,P,P,A,P,P,A,P,A,A,P,A,P,P,P
2310624,P,P,A,A,P,P,P,A,A,P,A,P,A,A,P,P,A,P,A,A,P,P,P,A,A,P,P,P,P,P,A
2310625,P,A,A,P,A,P,A,P,A,A,A,A,P,A,A,P,P,P,P,A,P,P,P,P,P,A,P,A,A,P,P
2310626,A,P,P,P,P,A,A,A,P,A,P,A,A,A,P,A,P,A,A,P,P,P,P,P,P,A,P,P,P,A,A
2310627,P,A,A,A,A,P,A,P,P,P,A,P,A,P,P,P,A,A,A,P,P,A,P,A,P,P,A,P,A,A,P
2310628,A,P,A,P,A,P,P,A,A,P,P,A,P,A,A,A,A,P,A,P,A,A,A,P,P,A,P,A,P,P,A
2310629,P,A,P,A,A,P,P,A,P,P,A,P,P,A,P,A,A,P,P,A,A,P,A,A,P,P,P,A,P,A,A
